"Тема / Категория","Запрос клиента / Ситуация","Официальный ответ мастера (WhatsApp)","Ссылка / Примечание"
"Приветствие","Первое сообщение / Приветствие / Запрос на запись","Добрый день ☺️ Я предоставляю услуги профессионального массажа, без эротических услуг. Работаю по записи с 9:00-23:00, Вы можете выбрать удобное свободное время и день для записи, буду рада видеть Вас!","Базовое приветствие для новых клиентов"
"Где вы находитесь","Где вы находитесь? На какой улице? Локация","Адрес: ул. Лука Асатиани, 46. Локация на карте: https://maps.app.goo.gl/RaCtRBJQPi7BNGKm8","https://maps.app.goo.gl/RaCtRBJQPi7BNGKm8"
"Секс, эротический массаж, интим, нуру, йони","Секс, эротический массаж, интим, Нуру, йони массаж, с продолжением / окончанием","Я не оказываю интимных, эротических и секс услуг, только профессиональный оздоровительный массаж.","Категорический вежливый отказ"
"Боли и травмы","Сильные боли, свежие травмы, грыжи, патологии, переломы","Я мастер по оздоровительному массажу, у меня образование в сфере спорта и с такими состояниями я не работаю. В вашем случае лучше обратиться к мастеру с медицинским образованием, который специализируется на работе с вашей проблемой. Желаю Вам здоровья и найти своего мастера!","Отказ по медицинским показаниям и рекомендация врача"
"Когда можно прийти","Когда можно прийти? Какой график работы?","Вы можете выбрать удобный день и время для Вас. Работаю по предварительной записи ежедневно с 9:00 до 23:00.","Выбор удобного слота"
"Отъезд / Отпуск мастера","Запись на ближайшие дни / сентябрь (актуальный статус)","Здравствуйте ☺️ Сейчас я нахожусь в отъезде с 13 сентября по 28 сентября, запись на массаж открыта 30 сентября. Вы можете записаться на удобное время 30 сентября с 12:00-18:45 или забронировать время на любой удобный для Вас день и время🙌 Буду рада видеть Вас! Желаю прекрасного дня☺️","Актуально на период 13-28 сентября"
